gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,baseline_llm,-1.0,0.0,-1.0
1.9380000000000002,baseline_llm,-1.0,25.3,0.0
2.2509,baseline_llm,3.5,15.3,0.0
2.1888,baseline_llm,-1.0,25.3,12.5
0.0,baseline_llm,-1.0,15.3,-1.0
4.3092,baseline_llm,27.5,21.3,16.5
89.3928,baseline_llm,96.6,55.8,38.5
44.5575,baseline_llm,-1.0,34.6,28.5
0.0,baseline_llm,0.0,0.0,0.0
113.12,baseline_llm,110.0,34.8,12.5
60.7152,baseline_llm,-1.0,36.2,-1.0
0.0,baseline_llm,-1.0,-1.0,-1.0
2.7084,baseline_llm,0.0,22.3,0.0
23.87,baseline_llm,-1.0,35.5,-1.0
13.554135,baseline_llm,17.5,15.3,16.5
12.6441,baseline_llm,18.6,15.3,12.5
6.6125,baseline_llm,-1.0,25.3,34.5
5.447,baseline_llm,4.2,0.0,-1.0
1.8375,baseline_llm,-1.0,24.6,12.5
0.0,baseline_llm,-1.0,0.0,0.0
11.718,baseline_llm,17.1,15.3,12.5
0.0,baseline_llm,-1.0,0.0,0.0
43.75,baseline_llm,-1.0,55.5,44.5
0.09570000000000001,baseline_llm,1.9,0.0,0.2
27.925,baseline_llm,35.6,29.5,32.5
19.70325,baseline_llm,15.7,15.3,16.5
3.7752,baseline_llm,2.9,0.0,-1.0
17.143,baseline_llm,-1.0,55.5,38.5
41.76,baseline_llm,-1.0,55.8,64.5
2.5599,baseline_llm,-1.0,-1.0,-1.0
18.844,baseline_llm,18.0,21.3,24.0
28.951,baseline_llm,-1.0,22.6,12.5
0.28,baseline_llm,-1.0,15.3,0.0
102.7,baseline_llm,52.5,27.5,32.5
0.0,baseline_llm,0.0,0.0,0.0
1.9924,baseline_llm,-1.0,-1.0,0.0
44.0115,baseline_llm,-1.0,28.3,30.5
29.957,baseline_llm,-1.0,25.3,30.0
5.8514,baseline_llm,17.2,15.3,26.5
54.46,baseline_llm,90.6,54.5,48.5
22.7418,baseline_llm,36.0,15.35,38.5
3.5791,baseline_llm,-1.0,15.3,10.0
93.3336,baseline_llm,86.0,34.3,54.5
0.025425,baseline_llm,-1.0,0.0,0.0
0.9456,baseline_llm,2.4,15.3,12.5
12.472,baseline_llm,17.6,15.3,14.5
1.0426666667,baseline_llm,0.0,0.0,0.0
10.336,baseline_llm,21.4,15.3,20.5
24.0095,baseline_llm,-1.0,34.1,38.5
10.2656,baseline_llm,-1.0,0.0,-1.0
26.536,baseline_llm,26.5,21.3,12.5
19.5195,baseline_llm,21.2,25.3,22.5
2.11398,baseline_llm,-1.0,15.0,0.0
37.4158,baseline_llm,72.0,15.5,28.5
44.148,baseline_llm,36.0,32.6,32.5
38.192,baseline_llm,-1.0,45.3,30.0
15.274000000000001,baseline_llm,-1.0,15.35,0.24
0.66486,baseline_llm,6.5,25.3,12.5
81.144,baseline_llm,-1.0,45.3,44.5
2.352,baseline_llm,1.1,15.0,15.0
0.0,baseline_llm,-1.0,25.3,0.0
14.44,baseline_llm,13.5,15.35,12.5
1.3905,baseline_llm,-1.0,35.5,24.5
0.3342,baseline_llm,-1.0,0.0,0.0
0.0,baseline_llm,-1.0,0.0,0.0
25.0157,baseline_llm,18.0,24.3,32.5
29.2032,baseline_llm,-1.0,32.5,30.5
2.7218,baseline_llm,0.0,0.0,0.0
0.0,baseline_llm,0.0,0.0,0.0
115.388,baseline_llm,-1.0,26.5,38.5
17.1948,baseline_llm,30.5,25.3,27.3
0.03955,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,0.0,0.0,0.0
49.6,baseline_llm,-1.0,55.5,64.5
5.173875,baseline_llm,4.7,5.3,12.5
0.5666666667,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,0.0,-1.0
1.5030125,baseline_llm,10.0,15.3,12.0
0.332061,baseline_llm,20.0,15.3,12.0
35.4816,baseline_llm,41.7,36.5,28.5
20.93,baseline_llm,-1.0,25.3,24.5
0.0,baseline_llm,-1.0,14.7,-1.0
