gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,cot_llm,0.0,14.0,0.0
1.9380000000000002,cot_llm,0.0,2.0,0.0
2.2509,cot_llm,11.2,7.5,14.0
2.1888,cot_llm,5.2,2.0,200.0
0.0,cot_llm,0.0,1.0,0.0
4.3092,cot_llm,33.0,15.0,28.0
89.3928,cot_llm,110.0,45.0,38.0
44.5575,cot_llm,-1.0,11.5,50.0
0.0,cot_llm,0.0,0.0,0.0
113.12,cot_llm,110.0,34.0,24.0
60.7152,cot_llm,-1.0,31.0,50.0
0.0,cot_llm,0.0,0.0,0.0
2.7084,cot_llm,0.0,2.0,0.0
23.87,cot_llm,28.0,25.0,24.0
13.554135,cot_llm,6.0,15.0,1.0
12.6441,cot_llm,18.0,14.0,1.0
6.6125,cot_llm,12.0,25.3,912.33
5.447,cot_llm,7.0,3.0,2.5
1.8375,cot_llm,0.0,24.0,2.0
0.0,cot_llm,0.0,0.0,14.0
11.718,cot_llm,6.5,15.0,1.0
0.0,cot_llm,0.0,13.0,0.0
43.75,cot_llm,40.0,48.5,40.0
0.09570000000000001,cot_llm,0.1,0.0,0.0
27.925,cot_llm,35.0,27.0,28.0
19.70325,cot_llm,15.0,12.0,12.0
3.7752,cot_llm,2.2,5.0,0.0
17.143,cot_llm,45.0,62.5,30.0
41.76,cot_llm,52.0,27.0,22.0
2.5599,cot_llm,0.0,0.0,12.0
18.844,cot_llm,18.0,15.0,27.0
28.951,cot_llm,30.0,13.0,0.0
0.28,cot_llm,-1.0,15.5,0.0
102.7,cot_llm,52.0,34.0,36.0
0.0,cot_llm,0.0,0.0,0.0
1.9924,cot_llm,0.0,0.0,0.0
44.0115,cot_llm,40.0,38.3,26.0
29.957,cot_llm,32.0,50.0,108.0
5.8514,cot_llm,9.5,1.0,26.0
54.46,cot_llm,45.0,45.0,106.0
22.7418,cot_llm,36.0,15.0,55.0
3.5791,cot_llm,6.7,1.0,12.0
93.3336,cot_llm,86.0,41.5,1280.0
0.025425,cot_llm,0.0,0.0,0.0
0.9456,cot_llm,2.3,13.0,13.0
12.472,cot_llm,12.0,5.0,1.0
1.0426666667,cot_llm,0.0,0.0,0.0
10.336,cot_llm,21.0,26.0,26.0
24.0095,cot_llm,44.0,21.0,24.0
10.2656,cot_llm,-1.0,0.0,0.0
26.536,cot_llm,23.0,24.0,12.0
19.5195,cot_llm,21.0,25.0,24.0
2.11398,cot_llm,-1.0,0.0,0.0
37.4158,cot_llm,72.0,4.0,40.0
44.148,cot_llm,36.0,28.0,23.1
38.192,cot_llm,-1.0,25.75,20.0
15.274000000000001,cot_llm,16.0,4.2,12.0
0.66486,cot_llm,5.5,25.3,14.0
81.144,cot_llm,72.0,34.0,50.0
2.352,cot_llm,1.1,15.0,6.0
0.0,cot_llm,0.0,0.0,0.0
14.44,cot_llm,12.0,4.2,4.0
1.3905,cot_llm,-1.0,25.0,20.0
0.3342,cot_llm,1.0,1.0,1.0
0.0,cot_llm,-1.0,27.0,24.0
25.0157,cot_llm,18.0,21.0,32.0
29.2032,cot_llm,36.0,62.5,26.1
2.7218,cot_llm,0.0,13.0,0.0
0.0,cot_llm,0.0,26.0,0.0
115.388,cot_llm,58.0,27.0,26.0
17.1948,cot_llm,50.6,50.6,66.0
0.03955,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
49.6,cot_llm,40.0,27.0,30.0
5.173875,cot_llm,4.0,5.0,12.0
0.5666666667,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
1.5030125,cot_llm,10.0,7.0,12.0
0.332061,cot_llm,0.3,29.0,10.0
35.4816,cot_llm,41.0,55.8,26.0
20.93,cot_llm,24.0,26.0,24.0
0.0,cot_llm,39.0,14.0,-1.0
24.5203,cot_llm,27.0,15.0,22.0
1.2285,cot_llm,1.1,27.0,7.0
1.323945,cot_llm,0.1,0.0,0.0
22.372700000000002,cot_llm,32.0,15.0,24.0
31.72,cot_llm,41.0,27.0,30.0
34.73,cot_llm,27.0,15.0,24.0
0.0,cot_llm,0.0,0.0,0.0
87.3126,cot_llm,126.0,45.0,44.0
0.1495,cot_llm,0.0,27.0,0.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
7.6845,cot_llm,22.0,22.0,20.0
0.1587,cot_llm,1.0,14.0,1.0
0.0,cot_llm,0.0,1.0,0.0
34.0847,cot_llm,41.0,55.8,26.0
14.7,cot_llm,5.0,15.0,12.0
6.1776,cot_llm,5.0,5.0,3.0
15.152,cot_llm,12.3,27.0,24.0
14.825,cot_llm,20.0,15.0,12.0
48.702,cot_llm,36.0,22.0,28.0
1.53321,cot_llm,2.0,30.0,1.0
5.9576,cot_llm,6.0,27.0,22.0
15.1368,cot_llm,15.0,45.0,40.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,22.0,14.0
0.0,cot_llm,0.0,0.0,0.0
50.9712,cot_llm,44.0,39.0,39.0
13.04,cot_llm,15.0,24.0,24.0
13.6188,cot_llm,21.0,27.0,10.0
0.0,cot_llm,0.0,0.0,0.0
3.20112,cot_llm,2.0,14.0,0.0
32.2072,cot_llm,15.0,25.0,22.0
21.0455,cot_llm,18.0,15.0,22.0
0.0,cot_llm,-1.0,0.0,0.0
17.496,cot_llm,8.0,15.0,12.0
29.2704,cot_llm,35.0,32.0,30.0
12.0225,cot_llm,10.0,29.3,4.0
18.7418,cot_llm,12.0,27.0,24.0
30.6936,cot_llm,48.0,41.5,26.0
0.38880000000000003,cot_llm,2.2,27.0,12.0
18.432,cot_llm,30.0,24.0,30.0
0.0,cot_llm,0.0,0.0,0.0
2.0435,cot_llm,2.1,15.0,12.0
