gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,baseline_llm,-1.0,0.0,-1.0
3.876,baseline_llm,-1.0,25.3,0.0
4.5018,baseline_llm,5.4,15.3,-1.0
4.3776,baseline_llm,-1.0,15.3,2.6
0.0,baseline_llm,-1.0,15.3,-1.0
12.9276,baseline_llm,21.6,29.3,24.5
178.7856,baseline_llm,216.0,66.5,144.0
133.6725,baseline_llm,-1.0,54.5,105.0
0.0,baseline_llm,0.0,0.0,0.0
56.56,baseline_llm,51.5,25.3,16.5
182.1456,baseline_llm,168.0,55.5,102.0
0.0,baseline_llm,-1.0,-1.0,-1.0
5.4168,baseline_llm,0.0,22.6,12.5
71.61,baseline_llm,-1.0,30.0,-1.0
40.662405,baseline_llm,36.0,15.3,22.5
25.2882,baseline_llm,-1.0,13.5,12.5
39.675,baseline_llm,-1.0,27.5,100.0
16.341,baseline_llm,15.6,0.0,-1.0
3.675,baseline_llm,-1.0,25.3,-1.0
0.0,baseline_llm,-1.0,0.0,0.0
35.154,baseline_llm,36.0,15.3,18.5
0.0,baseline_llm,-1.0,15.3,0.0
21.875,baseline_llm,30.0,45.3,42.5
2.871,baseline_llm,8.4,25.3,24.5
83.775,baseline_llm,90.0,45.3,120.0
9.851625,baseline_llm,22.5,15.3,20.0
0.9438000000000001,baseline_llm,1.9,0.0,0.25
51.429,baseline_llm,-1.0,225.3,120.0
83.52,baseline_llm,-1.0,34.6,67.5
1.27995,baseline_llm,-1.0,0.0,-1.0
9.422,baseline_llm,18.5,15.5,22.5
57.902,baseline_llm,-1.0,42.7,30.0
0.84,baseline_llm,-1.0,28.3,27.3
308.1,baseline_llm,-1.0,105.3,108.0
0.0,baseline_llm,-1.0,0.0,0.0
5.9772,baseline_llm,-1.0,-1.0,-1.0
132.0345,baseline_llm,135.0,28.5,28.5
89.871,baseline_llm,-1.0,105.0,-1.0
11.7028,baseline_llm,38.6,25.3,32.5
27.23,baseline_llm,36.5,55.5,54.5
11.3709,baseline_llm,19.5,55.8,38.5
7.1582,baseline_llm,-1.0,25.3,-1.0
280.0008,baseline_llm,315.0,34.6,104.0
0.2034,baseline_llm,-1.0,0.0,-1.0
0.4728,baseline_llm,6.5,21.35,12.5
37.416,baseline_llm,51.6,22.3,24.5
9.384,baseline_llm,-1.0,0.0,-1.0
20.672,baseline_llm,41.6,25.3,28.5
12.00475,baseline_llm,-1.0,21.3,32.5
30.7968,baseline_llm,-1.0,0.0,-1.0
79.608,baseline_llm,81.0,34.5,32.5
58.5585,baseline_llm,72.0,66.5,28.5
6.34194,baseline_llm,-1.0,0.0,-1.0
112.2474,baseline_llm,-1.0,21.3,42.5
88.296,baseline_llm,64.0,32.5,34.5
19.096,baseline_llm,-1.0,35.3,24.5
45.822,baseline_llm,51.0,15.3,27.3
3.3243,baseline_llm,30.0,20.5,30.0
40.572,baseline_llm,45.0,34.6,42.5
7.056,baseline_llm,-1.0,-1.0,-1.0
0.0,baseline_llm,-1.0,0.0,-1.0
43.32,baseline_llm,78.0,28.3,38.5
2.781,baseline_llm,-1.0,45.3,42.5
0.1671,baseline_llm,1.1,0.0,0.2
0.0,baseline_llm,-1.0,22.5,0.0
75.0471,baseline_llm,81.0,69.3,60.0
58.4064,baseline_llm,-1.0,32.5,32.5
21.7744,baseline_llm,-1.0,22.3,-1.0
0.0,baseline_llm,0.0,0.0,0.0
57.694,baseline_llm,45.0,15.3,22.5
8.5974,baseline_llm,22.5,25.3,25.3
0.0791,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,0.0,0.0,0.0
99.2,baseline_llm,-1.0,66.5,120.0
10.34775,baseline_llm,4.8,15.3,24.5
5.1,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,0.0,-1.0
0.75150625,baseline_llm,6.5,15.3,12.0
1.660305,baseline_llm,15.0,20.0,20.0
70.9632,baseline_llm,72.0,55.8,54.5
10.465,baseline_llm,13.5,25.3,18.5
0.0,baseline_llm,-1.0,12.3,12.5
73.5609,baseline_llm,66.6,30.0,28.5
0.6142500000000001,baseline_llm,0.4,-1.0,12.5
