gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,cot_llm,0.0,54.0,28.0
3.876,cot_llm,0.0,22.0,2.0
4.5018,cot_llm,5.4,12.0,12.0
4.3776,cot_llm,2.2,0.0,2.0
0.0,cot_llm,0.0,0.0,0.0
12.9276,cot_llm,27.0,15.0,20.0
178.7856,cot_llm,192.0,50.0,56.0
133.6725,cot_llm,126.0,16.67,96.0
0.0,cot_llm,0.0,0.0,0.0
56.56,cot_llm,51.0,34.0,60.0
182.1456,cot_llm,177.0,162.0,150.0
0.0,cot_llm,-1.0,0.0,0.0
5.4168,cot_llm,0.0,2.0,12.0
71.61,cot_llm,90.0,75.0,72.0
40.662405,cot_llm,18.0,15.0,18.0
25.2882,cot_llm,44.0,26.0,8.0
39.675,cot_llm,90.0,9.0,72.0
16.341,cot_llm,13.8,0.0,0.0
3.675,cot_llm,0.0,2.0,48.0
0.0,cot_llm,0.0,19.0,24.0
35.154,cot_llm,18.0,15.0,3.0
0.0,cot_llm,0.0,27.0,10.0
21.875,cot_llm,15.0,26.6,30.0
2.871,cot_llm,3.0,0.0,0.0
83.775,cot_llm,90.0,30.0,72.0
9.851625,cot_llm,10.5,14.0,1.0
0.9438000000000001,cot_llm,1.9,5.0,2.0
51.429,cot_llm,-1.0,65.6,23.5
83.52,cot_llm,104.0,54.0,44.0
1.27995,cot_llm,0.0,27.0,24.0
9.422,cot_llm,9.0,7.5,13.5
57.902,cot_llm,30.0,6.5,10.0
0.84,cot_llm,0.0,55.5,34.0
308.1,cot_llm,156.0,81.0,126.0
0.0,cot_llm,0.0,12.0,0.0
5.9772,cot_llm,0.0,0.0,0.0
132.0345,cot_llm,120.0,34.0,72.0
89.871,cot_llm,93.0,18.0,128.0
11.7028,cot_llm,37.0,12.0,52.0
27.23,cot_llm,36.0,22.5,42.0
11.3709,cot_llm,16.0,7.5,36.0
7.1582,cot_llm,12.0,0.0,12.0
280.0008,cot_llm,258.0,41.5,72.0
0.2034,cot_llm,0.0,0.0,0.0
0.4728,cot_llm,4.0,13.5,6.5
37.416,cot_llm,38.1,15.0,3.0
9.384,cot_llm,0.0,0.0,0.0
20.672,cot_llm,25.0,32.0,26.0
12.00475,cot_llm,30.5,6.5,11.1
30.7968,cot_llm,0.0,44.2,14.0
79.608,cot_llm,81.0,30.0,72.0
58.5585,cot_llm,45.0,30.0,72.0
6.34194,cot_llm,0.0,13.5,0.0
112.2474,cot_llm,108.0,42.0,42.0
88.296,cot_llm,66.0,56.0,44.0
19.096,cot_llm,30.0,25.0,12.2
45.822,cot_llm,64.8,15.0,36.0
3.3243,cot_llm,125.0,3.0,50.0
40.572,cot_llm,36.0,7.5,22.0
7.056,cot_llm,3.0,30.0,63.0
0.0,cot_llm,0.0,28.0,0.0
43.32,cot_llm,78.0,81.5,79.0
2.781,cot_llm,6.0,30.0,48.0
0.1671,cot_llm,0.6,4.2,1.0
0.0,cot_llm,0.0,4.0,48.0
75.0471,cot_llm,54.0,45.0,60.0
58.4064,cot_llm,132.0,64.5,87.7
21.7744,cot_llm,80.0,8.0,0.0
0.0,cot_llm,0.0,27.0,0.0
57.694,cot_llm,29.0,15.0,26.0
8.5974,cot_llm,15.0,25.3,23.1
0.0791,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,42.0
0.0,cot_llm,0.0,0.0,0.0
99.2,cot_llm,108.0,50.0,40.0
10.34775,cot_llm,4.0,8.0,28.0
5.1,cot_llm,2.4,0.0,0.0
0.0,cot_llm,0.0,81.0,84.0
0.75150625,cot_llm,0.25,6.5,3.25
1.660305,cot_llm,15.0,65.0,60.0
70.9632,cot_llm,72.0,55.8,21.0
10.465,cot_llm,13.0,15.0,24.0
0.0,cot_llm,-1.0,7.0,6.0
73.5609,cot_llm,81.0,3.0,66.0
0.6142500000000001,cot_llm,0.55,15.0,12.0
0.6619725,cot_llm,0.05,0.0,1.0
11.186350000000001,cot_llm,16.0,15.0,16.0
63.44,cot_llm,94.0,50.0,40.0
104.19,cot_llm,81.0,3.0,22.0
0.0,cot_llm,0.0,5.0,0.0
43.6563,cot_llm,63.0,15.0,24.0
0.07475000000000001,cot_llm,0.0,13.5,12.0
0.0,cot_llm,0.0,0.0,12.6
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
15.369,cot_llm,30.0,24.0,20.0
0.3174,cot_llm,2.0,2.0,2.0
0.0,cot_llm,0.0,4.67,0.0
102.2541,cot_llm,123.0,55.0,66.9
7.35,cot_llm,2.5,7.5,10.0
9.2664,cot_llm,7.5,5.0,4.5
30.304,cot_llm,12.0,30.0,44.0
7.4125,cot_llm,8.0,7.5,24.0
146.106,cot_llm,135.0,27.0,100.0
0.766605,cot_llm,0.5,2.1,0.5
17.8728,cot_llm,45.0,17.67,66.0
45.4104,cot_llm,45.0,8.0,72.0
0.0,cot_llm,0.0,12.5,50.0
0.0,cot_llm,0.0,0.0,84.0
0.0,cot_llm,0.0,14.0,28.0
0.0,cot_llm,0.0,24.0,0.0
25.4856,cot_llm,19.5,9.75,39.0
6.52,cot_llm,7.5,12.0,12.0
40.8564,cot_llm,63.0,21.0,36.0
0.0,cot_llm,0.0,0.0,0.0
1.6005600000000002,cot_llm,3.0,0.0,0.0
96.6216,cot_llm,45.0,10.0,112.0
42.091,cot_llm,36.0,28.0,22.0
0.0,cot_llm,0.0,0.0,0.0
34.992,cot_llm,16.0,46.0,24.0
87.8112,cot_llm,108.0,84.0,112.8
24.045,cot_llm,10.0,15.0,2.0
56.2254,cot_llm,37.2,82.8,60.0
15.3468,cot_llm,25.0,62.5,52.0
0.7776000000000001,cot_llm,12.0,24.0,24.0
9.216,cot_llm,26.0,24.0,36.0
0.0,cot_llm,0.0,27.0,42.0
4.087,cot_llm,10.0,15.0,0.0
121.1112,cot_llm,0.0,45.0,36.0
3.81375,cot_llm,3.5,13.0,2.0
0.0,cot_llm,0.0,0.0,0.0
50.3538,cot_llm,60.0,11.5,26.0
31.5432,cot_llm,28.0,27.0,0.0
75.554,cot_llm,72.0,15.5,42.0
11.91315,cot_llm,6.0,15.0,3.0
9.2175,cot_llm,8.5,15.0,13.0
0.0,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,36.0
2.982,cot_llm,7.0,4.0,71.0
0.0,cot_llm,0.0,0.0,0.25
78.12,cot_llm,60.0,25.0,22.0
0.0,cot_llm,0.0,2.3,0.0
99.0528,cot_llm,90.0,101.2,81.2
0.0,cot_llm,-1.0,0.0,0.0
0.584,cot_llm,2.0,3.0,0.0
0.306,cot_llm,0.0,27.0,22.8
9.8095,cot_llm,6.7,13.5,10.0
82.128,cot_llm,80.0,50.0,60.0
12.42,cot_llm,9.0,17.05,17.55
0.0,cot_llm,0.0,17.0,28.0
30.1806,cot_llm,24.0,24.0,0.0
12.7104,cot_llm,13.5,0.0,3.0
2.605,cot_llm,0.0,17.05,30.0
95.064,cot_llm,99.0,45.0,36.0
141.939,cot_llm,102.0,81.0,60.0
0.6412500000000001,cot_llm,0.4,22.0,24.0
4.1297,cot_llm,10.4,15.0,12.0
0.0,cot_llm,0.0,1.0,0.0
0.0,cot_llm,0.0,167.5,0.0
119.3478,cot_llm,8.4,0.0,0.0
6.25485,cot_llm,6.5,12.0,24.0
5.734,cot_llm,15.0,15.0,12.0
13.2165,cot_llm,14.0,13.5,14.0
22.52375,cot_llm,20.0,29.0,24.0
6.9504,cot_llm,-1.0,22.0,25.0
30.5473,cot_llm,22.0,22.5,42.0
138.075,cot_llm,90.0,86.5,66.0
96.14,cot_llm,80.0,25.0,48.0
12.50785,cot_llm,9.0,7.5,21.0
1.15885,cot_llm,0.0,27.0,0.0
9.2988,cot_llm,20.0,30.0,14.0
173.9694,cot_llm,201.6,24.0,36.0
126.3348,cot_llm,45.0,22.0,22.0
0.4883,cot_llm,1.6,1.0,-1.0
1.2715,cot_llm,24.0,45.0,12.5
13.821,cot_llm,0.0,14.0,12.0
5.256,cot_llm,4.0,28.0,2.0
0.9144,cot_llm,0.6,0.0,1.0
0.0,cot_llm,0.0,27.0,0.0
2.052,cot_llm,4.0,24.0,2.0
0.1275,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
9.037,cot_llm,-1.0,22.0,72.0
6.3,cot_llm,9.0,15.0,36.0
69.201,cot_llm,66.0,42.0,60.0
79.814,cot_llm,20.0,30.0,20.0
99.55,cot_llm,82.0,42.0,52.0
7.9373000000000005,cot_llm,13.0,24.0,36.0
53.73,cot_llm,8.0,20.0,0.0
0.91854,cot_llm,0.8,12.0,10.0
147.45,cot_llm,135.0,30.0,88.0
0.0,cot_llm,-1.0,24.0,14.0
49.725,cot_llm,153.0,30.0,72.0
9.83178,cot_llm,18.0,15.0,36.0
0.0,cot_llm,0.0,42.2,48.0
3.88512,cot_llm,3.4,15.0,0.0
13.9444,cot_llm,22.0,37.5,30.0
0.0,cot_llm,0.0,24.5,7.2
63.536,cot_llm,75.0,27.0,22.0
0.0,cot_llm,0.0,27.0,24.0
3.556,cot_llm,0.0,3.5,24.0
0.0,cot_llm,0.0,3.5,14.0
7.2632,cot_llm,7.5,11.5,1.0
131.058,cot_llm,132.0,30.0,0.0
0.0,cot_llm,0.0,12.0,12.0
33.3882,cot_llm,-1.0,54.0,90.0
17.37054,cot_llm,18.0,45.0,69.0
7.6425,cot_llm,15.0,25.0,24.0
147.252,cot_llm,141.0,63.0,90.0
70.3308,cot_llm,69.0,27.0,3.0
0.7853500000000001,cot_llm,0.0,14.0,2.0
0.0,cot_llm,0.0,0.0,0.0
88.627,cot_llm,95.04,27.0,39.6
4.80975,cot_llm,3.25,11.0,18.0
0.0,cot_llm,0.0,0.0,0.0
25.4324,cot_llm,30.0,270.0,52.0
3.1432,cot_llm,3.0,13.5,14.0
34.33455,cot_llm,38.0,27.0,18.0
22.9842,cot_llm,30.0,52.0,60.0
59.7495,cot_llm,90.0,66.0,36.0
29.88657,cot_llm,18.0,13.0,0.0
17.02575,cot_llm,16.0,7.5,16.0
0.0,cot_llm,-1.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
44.208,cot_llm,-1.0,20.0,20.0
0.0,cot_llm,0.0,27.0,0.0
17.2026,cot_llm,15.0,37.5,30.0
99.792,cot_llm,180.0,75.0,120.0
81.9072,cot_llm,90.0,38.0,36.0
6.6746,cot_llm,10.0,12.0,18.0
3.375,cot_llm,0.0,24.0,66.0
0.0,cot_llm,0.0,0.0,1.6
0.0,cot_llm,0.0,27.0,90.0
0.0,cot_llm,0.0,14.0,14.0
0.7524000000000001,cot_llm,0.5,11.0,14.0
265.5088,cot_llm,120.0,56.0,60.0
225.664,cot_llm,232.0,0.0,0.0
5.1075,cot_llm,0.0,27.0,300.0
3.24,cot_llm,1.5,4.0,0.0
6.2248,cot_llm,18.6,15.0,12.0
26.248,cot_llm,31.0,54.3,26.0
