gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,baseline_llm,-1.0,15.38,0.0
53.33,baseline_llm,-1.0,25.3,-1.0
87.1,baseline_llm,-1.0,27.5,100.0
49.02,baseline_llm,-1.0,34.6,30.5
31.97,baseline_llm,-1.0,34.6,30.0
3.64,baseline_llm,-1.0,25.3,22.0
77.14,baseline_llm,73.5,25.3,-1.0
42.48,baseline_llm,-1.0,25.3,-1.0
80.81,baseline_llm,72.0,21.35,56.5
81.82,baseline_llm,-1.0,24.8,0.0
95.56,baseline_llm,-1.0,29.2,28.8
32.39,baseline_llm,-1.0,25.3,28.5
77.42,baseline_llm,80.0,26.5,0.0
38.46,baseline_llm,-1.0,100.0,100.0
37.04,baseline_llm,-1.0,15.35,100.0
3.5700000000000003,baseline_llm,-1.0,25.3,24.5
1.4100000000000001,baseline_llm,-1.0,25.3,24.0
16.67,baseline_llm,-1.0,25.3,-1.0
4.01,baseline_llm,-1.0,25.3,0.0
14.23,baseline_llm,-1.0,25.3,-1.0
26.96,baseline_llm,26.5,34.6,34.5
0.0,baseline_llm,-1.0,35.3,25.3
17.65,baseline_llm,-1.0,0.0,-1.0
75.0,baseline_llm,-1.0,55.5,30.0
1.75,baseline_llm,-1.0,55.5,100.0
14.17,baseline_llm,-1.0,25.3,100.0
42.11,baseline_llm,-1.0,22.3,34.5
10.16,baseline_llm,-1.0,15.3,-1.0
6.69,baseline_llm,-1.0,25.3,30.0
2.35,baseline_llm,-1.0,15.3,-1.0
0.0,baseline_llm,-1.0,0.0,0.0
50.0,baseline_llm,-1.0,25.3,27.0
3.3,baseline_llm,5.9,25.3,24.4
50.0,baseline_llm,-1.0,34.3,28.5
76.67,baseline_llm,-1.0,15.3,56.5
3.33,baseline_llm,-1.0,24.8,12.5
53.9,baseline_llm,54.0,35.3,68.0
0.0,baseline_llm,-1.0,-1.0,-1.0
23.33,baseline_llm,16.13,25.3,24.5
5.29,baseline_llm,-1.0,25.3,25.3
7.96,baseline_llm,-1.0,25.3,24.5
18.43,baseline_llm,-1.0,45.3,44.5
0.0,baseline_llm,-1.0,15.3,-1.0
54.24,baseline_llm,40.0,24.8,24.5
8.09,baseline_llm,-1.0,0.0,0.0
100.0,baseline_llm,-1.0,34.1,-1.0
88.89,baseline_llm,-1.0,15.3,-1.0
93.33,baseline_llm,-1.0,25.3,24.5
9.75,baseline_llm,-1.0,24.4,100.0
8.67,baseline_llm,-1.0,24.8,24.5
4.97,baseline_llm,-1.0,25.3,24.5
8.0,baseline_llm,-1.0,1.8,-1.0
30.7,baseline_llm,25.0,55.5,38.5
80.0,baseline_llm,-1.0,25.3,24.5
0.0,baseline_llm,-1.0,0.0,0.0
10.0,baseline_llm,25.0,25.3,-1.0
83.1,baseline_llm,44.0,21.35,30.0
28.57,baseline_llm,-1.0,25.3,100.0
22.22,baseline_llm,-1.0,25.3,20.0
62.5,baseline_llm,-1.0,29.25,64.5
66.3,baseline_llm,-1.0,64.5,64.0
0.0,baseline_llm,-1.0,15.3,0.0
75.0,baseline_llm,60.0,34.6,28.0
100.0,baseline_llm,-1.0,0.0,-1.0
50.0,baseline_llm,23.5,25.3,28.5
59.38,baseline_llm,-1.0,55.5,120.0
19.52,baseline_llm,-1.0,55.5,34.5
20.63,baseline_llm,-1.0,24.8,24.5
60.0,baseline_llm,-1.0,25.3,24.5
10.71,baseline_llm,-1.0,25.3,24.5
73.33,baseline_llm,38.5,55.5,48.0
33.65,baseline_llm,22.0,29.2,64.5
52.94,baseline_llm,-1.0,25.3,-1.0
11.63,baseline_llm,-1.0,66.5,64.5
30.89,baseline_llm,10.0,0.0,-1.0
20.0,baseline_llm,-1.0,25.3,-1.0
40.74,baseline_llm,54.0,34.8,30.0
76.0,baseline_llm,-1.0,55.5,54.0
9.09,baseline_llm,1.6,55.8,100.0
3.5700000000000003,baseline_llm,-1.0,25.3,100.0
73.33,baseline_llm,-1.0,25.3,-1.0
13.91,baseline_llm,15.5,25.3,25.3
0.0,baseline_llm,-1.0,0.0,0.0
12.23,baseline_llm,9.9,25.3,42.5
0.0,baseline_llm,-1.0,0.0,-1.0
66.67,baseline_llm,-1.0,18.3,24.5
0.0,baseline_llm,-1.0,12.3,0.0
40.0,baseline_llm,-1.0,15.3,0.0
71.43,baseline_llm,-1.0,26.3,28.5
17.225,baseline_llm,-1.0,25.3,24.5
0.0,baseline_llm,-1.0,29.5,24.5
0.0,baseline_llm,-1.0,25.3,-1.0
17.78,baseline_llm,-1.0,55.5,58.5
0.0,baseline_llm,-1.0,0.0,0.0
89.29,baseline_llm,80.0,26.3,60.0
53.33,baseline_llm,-1.0,45.3,100.0
2.73,baseline_llm,-1.0,15.3,-1.0
6.47,baseline_llm,12.0,24.3,24.5
47.83,baseline_llm,33.0,24.8,30.0
31.75,baseline_llm,-1.0,22.35,100.0
55.17,baseline_llm,-1.0,15.3,-1.0
17.5,baseline_llm,-1.0,25.3,27.5
75.0,baseline_llm,-1.0,15.3,27.5
52.63,baseline_llm,-1.0,25.3,-1.0
64.06,baseline_llm,-1.0,24.3,120.0
3.73,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,25.3,-1.0
0.0,baseline_llm,2.0,27.6,12.0
7.6,baseline_llm,-1.0,45.3,42.5
5.92,baseline_llm,-1.0,25.3,28.5
9.86,baseline_llm,-1.0,25.3,0.0
15.75,baseline_llm,-1.0,45.3,54.5
52.17,baseline_llm,-1.0,25.3,24.5
55.0,baseline_llm,-1.0,15.3,0.0
45.16,baseline_llm,-1.0,25.3,-1.0
88.89,baseline_llm,-1.0,25.3,-1.0
100.0,baseline_llm,-1.0,25.3,-1.0
33.33,baseline_llm,-1.0,25.3,-1.0
28.57,baseline_llm,-1.0,0.0,0.0
3.66,baseline_llm,-1.0,25.3,24.5
65.37,baseline_llm,-1.0,29.2,-1.0
15.93,baseline_llm,-1.0,15.3,-1.0
88.89,baseline_llm,98.0,15.3,100.0
0.0,baseline_llm,-1.0,15.5,-1.0
13.0,baseline_llm,-1.0,0.0,-1.0
5.025,baseline_llm,20.0,25.3,28.5
0.0,baseline_llm,-1.0,24.8,24.0
74.97,baseline_llm,-1.0,0.0,-1.0
0.34,baseline_llm,-1.0,0.0,-1.0
7.49,baseline_llm,-1.0,0.0,0.0
0.03,baseline_llm,-1.0,25.3,0.0
19.07,baseline_llm,-1.0,100.0,-1.0
13.33,baseline_llm,-1.0,55.5,60.0
0.0,baseline_llm,6.0,25.3,24.0
83.33,baseline_llm,-1.0,0.0,-1.0
42.6,baseline_llm,-1.0,34.2,36.5
49.6,baseline_llm,-1.0,24.3,30.5
27.43,baseline_llm,-1.0,25.3,24.0
0.0,baseline_llm,-1.0,25.3,100.0
63.33,baseline_llm,-1.0,25.3,240.0
0.0,baseline_llm,0.0,0.0,-1.0
27.27,baseline_llm,-1.0,55.5,64.5
0.0,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,22.3,-1.0
16.81,baseline_llm,-1.0,55.3,32.5
75.0,baseline_llm,-1.0,25.3,28.5
67.61,baseline_llm,15.5,15.3,100.0
0.0,baseline_llm,-1.0,0.0,-1.0
90.0,baseline_llm,-1.0,34.2,100.0
23.63,baseline_llm,27.5,24.6,28.6
0.0,baseline_llm,-1.0,42.45,28.5
2.17,baseline_llm,0.0,0.0,0.0
53.57,baseline_llm,-1.0,21.35,54.5
3.8,baseline_llm,-1.0,25.3,-1.0
5.63,baseline_llm,25.0,34.8,36.0
0.0,baseline_llm,-1.0,0.0,-1.0
67.5,baseline_llm,-1.0,25.3,29.5
53.57,baseline_llm,54.0,35.6,28.5
