gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,cot_llm,0.0,19.0,100.0
53.33,cot_llm,-1.0,25.3,25.0
87.1,cot_llm,-1.0,25.0,-1.0
49.02,cot_llm,48.0,30.27,44.0
31.97,cot_llm,-1.0,32.0,30.0
3.64,cot_llm,-1.0,5.0,10.0
77.14,cot_llm,74.0,27.0,24.0
42.48,cot_llm,-1.0,13.5,0.0
80.81,cot_llm,73.0,15.0,36.0
81.82,cot_llm,5.0,35.4,0.0
95.56,cot_llm,60.0,54.0,28.0
32.39,cot_llm,15.0,25.0,24.0
77.42,cot_llm,80.0,24.0,100.0
38.46,cot_llm,-1.0,22.3,24.0
37.04,cot_llm,-1.0,15.0,28.0
3.5700000000000003,cot_llm,0.0,22.3,20.0
1.4100000000000001,cot_llm,-1.0,24.0,0.0
16.67,cot_llm,-1.0,0.0,-1.0
4.01,cot_llm,-1.0,0.0,0.0
14.23,cot_llm,10.0,14.3,0.0
26.96,cot_llm,18.0,24.0,24.0
0.0,cot_llm,6.0,150.6,25.3
17.65,cot_llm,-1.0,14.0,100.0
75.0,cot_llm,-1.0,12.5,50.0
1.75,cot_llm,6.0,25.0,24.0
14.17,cot_llm,-1.0,24.0,24.0
42.11,cot_llm,-1.0,27.0,60.0
10.16,cot_llm,-1.0,12.0,0.0
6.69,cot_llm,-1.0,45.0,50.0
2.35,cot_llm,-1.0,14.6,0.0
0.0,cot_llm,-1.0,0.0,0.0
50.0,cot_llm,60.0,27.0,24.0
3.3,cot_llm,3.7,3.0,2.0
50.0,cot_llm,47.0,106.5,22.2
76.67,cot_llm,74.0,15.0,100.0
3.33,cot_llm,2.0,2.0,0.0
53.9,cot_llm,56.0,27.0,64.0
0.0,cot_llm,0.0,0.0,100.0
23.33,cot_llm,16.0,27.0,30.0
5.29,cot_llm,-1.0,25.3,0.0
7.96,cot_llm,-1.0,25.3,24.0
18.43,cot_llm,36.0,32.0,100.0
0.0,cot_llm,-1.0,0.0,100.0
54.24,cot_llm,-1.0,24.0,28.0
8.09,cot_llm,8.0,15.0,6.0
100.0,cot_llm,-1.0,25.3,24.0
88.89,cot_llm,-1.0,27.0,100.0
93.33,cot_llm,-1.0,24.0,0.0
9.75,cot_llm,-1.0,27.0,40.0
8.67,cot_llm,10.0,25.0,44.0
4.97,cot_llm,10.0,22.0,40.0
8.0,cot_llm,10.0,1.2,0.0
30.7,cot_llm,25.0,54.0,5000.0
80.0,cot_llm,-1.0,27.0,24.0
0.0,cot_llm,0.0,0.0,0.0
10.0,cot_llm,25.0,27.0,100.0
83.1,cot_llm,67.0,24.0,100.0
28.57,cot_llm,-1.0,12.5,60.0
22.22,cot_llm,-1.0,27.0,10.0
62.5,cot_llm,25.0,25.3,28.0
66.3,cot_llm,26.0,54.0,-1.0
0.0,cot_llm,0.0,27.0,100.0
75.0,cot_llm,70.0,27.5,100.0
100.0,cot_llm,-1.0,0.0,100.0
50.0,cot_llm,18.0,27.0,27.0
59.38,cot_llm,30.0,27.0,28.0
19.52,cot_llm,51.0,61.5,30.0
20.63,cot_llm,17.0,24.0,22.0
60.0,cot_llm,-1.0,22.3,2400.0
10.71,cot_llm,5.0,24.0,20.0
73.33,cot_llm,28.0,25.3,100.0
33.65,cot_llm,20.0,24.0,30.0
52.94,cot_llm,-1.0,25.0,0.0
11.63,cot_llm,30.0,90.0,30.0
30.89,cot_llm,10.0,24.0,0.0
20.0,cot_llm,20.0,25.0,24.0
40.74,cot_llm,-1.0,27.0,100.0
76.0,cot_llm,-1.0,27.5,64.0
9.09,cot_llm,2.0,0.0,0.0
3.5700000000000003,cot_llm,-1.0,27.0,24.0
73.33,cot_llm,-1.0,27.0,100.0
13.91,cot_llm,15.0,25.3,26.0
0.0,cot_llm,35.0,33.3,43.6
12.23,cot_llm,9.6,6.5,24.0
0.0,cot_llm,0.0,0.0,0.0
66.67,cot_llm,-1.0,12.0,27.0
0.0,cot_llm,-1.0,15.0,0.0
40.0,cot_llm,-1.0,15.0,100.0
71.43,cot_llm,60.0,27.0,27.0
17.225,cot_llm,-1.0,25.0,24.0
0.0,cot_llm,-1.0,24.0,0.0
0.0,cot_llm,-1.0,25.3,0.0
17.78,cot_llm,-1.0,45.3,50.0
0.0,cot_llm,0.0,0.0,0.0
89.29,cot_llm,71.0,12.0,-1.0
53.33,cot_llm,-1.0,24.0,60.0
2.73,cot_llm,-1.0,0.0,-1.0
6.47,cot_llm,9.0,24.0,24.0
47.83,cot_llm,45.0,24.0,24.0
31.75,cot_llm,28.0,22.0,28.0
55.17,cot_llm,-1.0,15.0,100.0
17.5,cot_llm,20.0,27.0,27.0
75.0,cot_llm,10.0,25.3,43.0
