gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
7.443,baseline_llm,-1.0,0.0,-1.0
22.258,baseline_llm,-1.0,21.3,24.0
4.1423,baseline_llm,14.5,15.3,17.5
1.941975,baseline_llm,1.5,0.0,0.0
36.5876,baseline_llm,28.0,15.3,24.5
34.6885,baseline_llm,-1.0,45.3,-1.0
22.544,baseline_llm,-1.0,24.8,12.5
9.72,baseline_llm,-1.0,0.0,-1.0
9.696,baseline_llm,-1.0,0.0,-1.0
6.4467,baseline_llm,-1.0,15.3,12.5
18.924,baseline_llm,-1.0,27.5,24.5
0.5418000000000001,baseline_llm,-1.0,-1.0,-1.0
0.0,baseline_llm,-1.0,0.0,0.0
7.7253,baseline_llm,-1.0,22.3,24.5
10.071,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,15.3,24.5
3.3915,baseline_llm,-1.0,24.3,12.5
29.264,baseline_llm,-1.0,25.3,24.5
16.5748,baseline_llm,6.5,0.0,0.0
13.167,baseline_llm,-1.0,15.0,-1.0
4.4206,baseline_llm,0.8,0.0,-1.0
25.228,baseline_llm,-1.0,45.3,24.5
4.7974,baseline_llm,5.5,0.0,0.0
37.314,baseline_llm,-1.0,24.8,-1.0
31.304,baseline_llm,-1.0,24.3,24.0
2.013,baseline_llm,-1.0,15.3,-1.0
14.5136,baseline_llm,-1.0,22.5,24.5
0.6180300000000001,baseline_llm,-1.0,15.3,12.5
0.0,baseline_llm,-1.0,15.0,-1.0
29.352,baseline_llm,-1.0,25.3,-1.0
1.8321,baseline_llm,8.5,5.3,12.5
0.44982000000000005,baseline_llm,-1.0,15.0,-1.0
18.032,baseline_llm,-1.0,15.3,-1.0
0.1648,baseline_llm,1.1,2.3,0.0
19.47,baseline_llm,-1.0,15.3,10.0
35.0405,baseline_llm,-1.0,55.5,34.5
8.154,baseline_llm,6.6,0.0,-1.0
4.48,baseline_llm,-1.0,45.3,30.0
50.014,baseline_llm,-1.0,27.3,12.5
3.054,baseline_llm,-1.0,12.3,-1.0
115.014,baseline_llm,129.5,37.5,68.0
26.8992,baseline_llm,29.0,25.3,27.0
9.8945,baseline_llm,-1.0,25.3,64.5
3.021,baseline_llm,6.5,12.35,1.5
8.01,baseline_llm,15.0,34.6,34.5
21.034,baseline_llm,24.0,21.35,24.0
0.868,baseline_llm,-1.0,25.3,-1.0
31.407,baseline_llm,29.8,15.3,12.5
21.896,baseline_llm,-1.0,25.3,12.5
0.2982,baseline_llm,-1.0,0.0,-1.0
0.11760000000000001,baseline_llm,-1.0,0.0,0.0
0.0,baseline_llm,-1.0,15.3,0.0
2.0432,baseline_llm,6.5,24.6,1.5
16.9158,baseline_llm,-1.0,25.3,24.5
38.9082,baseline_llm,34.0,29.5,24.0
49.126,baseline_llm,-1.0,-1.0,0.0
6.0551,baseline_llm,-1.0,22.3,22.5
6.3045,baseline_llm,-1.0,22.6,-1.0
27.9587,baseline_llm,22.5,22.3,24.5
14.9206,baseline_llm,-1.0,15.3,-1.0
2.3205,baseline_llm,6.5,25.3,24.5
4.118,baseline_llm,-1.0,35.5,34.5
18.787545,baseline_llm,18.7,15.3,10.0
0.405,baseline_llm,-1.0,0.0,-1.0
0.12,baseline_llm,-1.0,25.3,25.3
6.79,baseline_llm,-1.0,29.3,28.5
2.7776,baseline_llm,4.5,0.0,2.5
17.71,baseline_llm,29.0,22.3,64.0
3.5,baseline_llm,-1.0,25.3,-1.0
9.996,baseline_llm,-1.0,24.3,12.5
0.3668,baseline_llm,-1.0,0.0,0.0
0.0,baseline_llm,-1.0,-1.0,-1.0
159.593,baseline_llm,-1.0,34.4,-1.0
6.678,baseline_llm,-1.0,24.8,0.0
13.725999999999999,baseline_llm,-1.0,24.6,27.5
3.7037037037,baseline_llm,42.8,34.6,34.5
68.267,baseline_llm,18.6,26.5,12.5
4.872,baseline_llm,-1.0,15.3,24.5
50.5568,baseline_llm,-1.0,27.25,12.5
15.958215,baseline_llm,20.5,15.35,16.5
31.8825,baseline_llm,-1.0,34.6,0.0
54.24,baseline_llm,36.0,0.0,0.0
0.0,baseline_llm,-1.0,-1.0,-1.0
26.22,baseline_llm,26.0,23.3,22.5
5.7648,baseline_llm,-1.0,22.3,2.5
0.263,baseline_llm,-1.0,15.3,-1.0
0.14880000000000002,baseline_llm,-1.0,0.0,-1.0
32.2278,baseline_llm,36.0,28.5,30.0
0.6672,baseline_llm,1.1,3.3,0.0
3.996,baseline_llm,-1.0,22.3,-1.0
12.0764,baseline_llm,-1.0,0.0,-1.0
4.632,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,0.0,0.0,0.0
0.0369,baseline_llm,-1.0,15.3,-1.0
3.072,baseline_llm,-1.0,22.3,24.5
0.64,baseline_llm,-1.0,0.0,-1.0
8.5555,baseline_llm,-1.0,22.3,-1.0
208.32,baseline_llm,-1.0,24.3,0.0
17.613,baseline_llm,-1.0,55.5,30.0
0.1184,baseline_llm,-1.0,26.5,25.3
18.8244,baseline_llm,10.5,15.35,16.5
0.0,baseline_llm,0.0,0.0,0.0
12.96,baseline_llm,15.5,21.3,24.5
0.0,baseline_llm,-1.0,0.0,-1.0
89.1656,baseline_llm,-1.0,55.5,34.5
40.034,baseline_llm,45.2,15.3,24.5
0.0,baseline_llm,-1.0,22.3,0.0
32.373,baseline_llm,-1.0,45.3,34.5
0.4193333333,baseline_llm,-1.0,-1.0,-1.0
0.0,baseline_llm,-1.0,0.0,0.0
15.906,baseline_llm,20.5,20.6,22.5
17.9928,baseline_llm,18.7,31.3,22.5
13.814955,baseline_llm,-1.0,5.3,12.5
0.0,baseline_llm,-1.0,0.0,-1.0
11.49,baseline_llm,-1.0,-1.0,-1.0
16.4997,baseline_llm,21.6,21.3,24.5
37.2,baseline_llm,-1.0,24.6,-1.0
22.508,baseline_llm,-1.0,25.3,28.5
35.9502,baseline_llm,-1.0,32.6,30.0
0.0,baseline_llm,-1.0,0.0,0.0
42.666,baseline_llm,-1.0,32.6,120.0
6.069,baseline_llm,-1.0,0.0,0.0
1.0945,baseline_llm,1.2,15.0,12.5
0.3825,baseline_llm,0.0,0.0,0.0
4.394,baseline_llm,-1.0,15.3,14.5
34.5184,baseline_llm,-1.0,45.3,100.0
40.016,baseline_llm,-1.0,45.3,44.5
19.6106,baseline_llm,-1.0,34.6,24.5
0.6237,baseline_llm,-1.0,15.3,1.5
11.956,baseline_llm,12.0,15.5,12.5
7.305,baseline_llm,-1.0,12.6,12.5
1.624455,baseline_llm,6.5,15.3,3.5
0.045200000000000004,baseline_llm,0.0,0.0,0.0
16.694,baseline_llm,-1.0,15.3,12.5
15.19,baseline_llm,10.5,22.5,10.0
45.6736,baseline_llm,45.5,45.3,44.5
27.8535,baseline_llm,-1.0,54.5,32.5
49.0875,baseline_llm,-1.0,34.6,24.5
16.5152,baseline_llm,30.0,25.3,24.5
19.4876,baseline_llm,-1.0,22.3,24.5
0.0141666667,baseline_llm,0.0,0.0,0.0
0.0,baseline_llm,-1.0,0.0,-1.0
35.259,baseline_llm,27.5,15.3,15.3
44.122,baseline_llm,16.5,45.5,28.5
82.236,baseline_llm,-1.0,55.5,48.5
24.525,baseline_llm,13.5,15.3,15.0
0.043000000000000003,baseline_llm,-1.0,0.0,-1.0
17.304,baseline_llm,18.0,26.3,26.5
27.429,baseline_llm,-1.0,25.3,24.5
39.8096,baseline_llm,-1.0,41.3,44.5
18.152,baseline_llm,36.0,20.5,22.5
0.0,baseline_llm,-1.0,0.0,0.0
29.974,baseline_llm,15.5,15.3,12.5
2.37254,baseline_llm,-1.0,15.3,-1.0
