gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
7.443,cot_llm,-1.0,28.0,24.0
22.258,cot_llm,-1.0,15.0,23.0
4.1423,cot_llm,7.0,7.5,13.0
1.941975,cot_llm,1.0,0.0,0.0
36.5876,cot_llm,28.0,22.0,12.0
34.6885,cot_llm,30.0,27.0,28.0
22.544,cot_llm,20.0,12.0,12.0
9.72,cot_llm,-1.0,27.0,22.0
9.696,cot_llm,4.0,0.0,4.0
6.4467,cot_llm,-1.0,13.0,24.0
18.924,cot_llm,-1.0,25.0,24.0
0.5418000000000001,cot_llm,-1.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
7.7253,cot_llm,20.0,14.0,14.0
10.071,cot_llm,0.0,0.0,0.0
0.0,cot_llm,13.0,27.0,24.0
3.3915,cot_llm,20.0,27.0,1.0
29.264,cot_llm,15.0,25.0,28.0
16.5748,cot_llm,15.0,0.0,0.0
13.167,cot_llm,-1.0,13.0,10.0
4.4206,cot_llm,1.1,0.0,0.0
25.228,cot_llm,30.0,25.0,30.0
4.7974,cot_llm,5.0,25.3,1.0
37.314,cot_llm,30.0,22.0,2.0
31.304,cot_llm,30.0,-1.0,27.0
2.013,cot_llm,2.1,15.0,0.0
14.5136,cot_llm,-1.0,27.0,24.0
0.6180300000000001,cot_llm,0.0,1.0,1.0
0.0,cot_llm,-1.0,27.0,24.0
29.352,cot_llm,13.0,27.0,0.0
1.8321,cot_llm,7.0,15.0,1.0
0.44982000000000005,cot_llm,-1.0,0.0,0.0
18.032,cot_llm,-1.0,13.0,0.0
0.1648,cot_llm,1.0,0.0,0.0
19.47,cot_llm,9.0,15.0,10.0
35.0405,cot_llm,15.0,11.0,34.0
8.154,cot_llm,6.0,13.0,0.0
4.48,cot_llm,-1.0,27.5,10.0
50.014,cot_llm,30.0,27.0,24.0
3.054,cot_llm,-1.0,12.0,0.0
115.014,cot_llm,129.0,32.0,62.0
26.8992,cot_llm,25.0,23.0,27.0
9.8945,cot_llm,-1.0,25.0,30.0
3.021,cot_llm,4.5,12.0,0.0
8.01,cot_llm,15.0,32.0,30.0
21.034,cot_llm,-1.0,15.0,23.0
0.868,cot_llm,15.0,25.0,1.0
31.407,cot_llm,29.0,14.0,14.0
21.896,cot_llm,-1.0,17.0,20.0
0.2982,cot_llm,0.5,0.0,0.0
0.11760000000000001,cot_llm,0.0,6.0,4.5
0.0,cot_llm,0.0,14.6,0.0
2.0432,cot_llm,4.0,12.0,17.0
16.9158,cot_llm,30.0,15.0,0.0
38.9082,cot_llm,15.0,21.0,120.0
49.126,cot_llm,21.0,0.0,0.0
6.0551,cot_llm,10.0,27.0,24.0
6.3045,cot_llm,7.6,15.0,14.0
27.9587,cot_llm,30.0,27.0,24.0
14.9206,cot_llm,9.0,13.0,24.0
2.3205,cot_llm,4.5,15.0,1.0
4.118,cot_llm,15.0,25.0,40.0
18.787545,cot_llm,21.0,14.3,12.0
0.405,cot_llm,1.4,0.0,-1.0
0.12,cot_llm,-1.0,0.0,0.0
6.79,cot_llm,-1.0,4.2,45.5
2.7776,cot_llm,3.0,3.0,0.0
17.71,cot_llm,-1.0,15.0,30.0
3.5,cot_llm,-1.0,25.0,24.0
9.996,cot_llm,12.0,15.0,1.0
0.3668,cot_llm,0.0,22.0,0.0
0.0,cot_llm,0.0,0.0,0.0
159.593,cot_llm,90.0,17.0,50.0
6.678,cot_llm,6.0,24.0,0.0
13.725999999999999,cot_llm,-1.0,27.0,24.0
3.7037037037,cot_llm,27.0,24.0,82.5
68.267,cot_llm,41.0,27.0,24.0
4.872,cot_llm,8.0,25.0,10.0
50.5568,cot_llm,52.0,15.0,12.0
15.958215,cot_llm,23.0,13.0,1.0
31.8825,cot_llm,-1.0,34.0,36.0
54.24,cot_llm,30.0,0.0,0.0
0.0,cot_llm,0.0,34.75,40.0
26.22,cot_llm,27.0,23.0,12.0
5.7648,cot_llm,5.0,12.0,0.5
0.263,cot_llm,0.0,1.0,1.0
0.14880000000000002,cot_llm,0.0,0.0,20.0
32.2278,cot_llm,27.0,21.0,21.0
0.6672,cot_llm,1.0,13.0,1.0
3.996,cot_llm,-1.0,45.0,10.0
12.0764,cot_llm,10.0,24.0,0.0
4.632,cot_llm,3.5,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
0.0369,cot_llm,0.2,1.0,0.0
3.072,cot_llm,-1.0,50.6,20.0
0.64,cot_llm,1.0,0.0,0.0
8.5555,cot_llm,-1.0,22.0,24.0
208.32,cot_llm,200.0,27.0,36.0
17.613,cot_llm,15.0,27.0,24.0
0.1184,cot_llm,-1.0,0.0,0.0
18.8244,cot_llm,11.3,15.0,2.28
0.0,cot_llm,0.0,0.0,0.0
12.96,cot_llm,15.0,21.0,12.0
0.0,cot_llm,-1.0,14.0,0.0
89.1656,cot_llm,52.0,71.5,50.0
40.034,cot_llm,45.0,15.0,26.0
0.0,cot_llm,0.0,32.0,1.0
32.373,cot_llm,-1.0,45.0,30.0
0.4193333333,cot_llm,0.0,0.0,0.0
0.0,cot_llm,0.0,0.0,0.0
15.906,cot_llm,15.0,22.0,10.0
17.9928,cot_llm,18.0,42.0,54.0
13.814955,cot_llm,0.0,5.0,1.0
0.0,cot_llm,0.0,16.0,0.0
11.49,cot_llm,-1.0,25.0,0.0
16.4997,cot_llm,21.0,15.0,12.0
37.2,cot_llm,27.0,27.8,54.0
22.508,cot_llm,-1.0,25.0,-1.0
35.9502,cot_llm,36.0,14.0,30.0
0.0,cot_llm,-1.0,2.0,30.0
42.666,cot_llm,36.0,32.0,1280.0
6.069,cot_llm,0.0,0.0,0.0
1.0945,cot_llm,2.0,3.0,0.0
0.3825,cot_llm,0.15,5.0,0.0
4.394,cot_llm,15.0,13.0,10.0
34.5184,cot_llm,34.0,45.0,30.0
40.016,cot_llm,45.0,69.5,49.0
19.6106,cot_llm,16.0,67.5,52.0
0.6237,cot_llm,0.4,1.0,1.0
11.956,cot_llm,12.0,15.0,12.0
7.305,cot_llm,9.6,5.0,12.0
1.624455,cot_llm,7.0,5.0,0.0
0.045200000000000004,cot_llm,0.0,0.0,0.0
16.694,cot_llm,17.0,12.0,2.0
15.19,cot_llm,8.0,15.0,1.0
45.6736,cot_llm,45.0,96.5,44.0
27.8535,cot_llm,40.0,54.0,48.0
49.0875,cot_llm,30.0,40.0,36.0
16.5152,cot_llm,15.0,25.0,24.0
19.4876,cot_llm,134.0,12.5,24.0
0.0141666667,cot_llm,0.0,0.0,0.0
0.0,cot_llm,-1.0,0.0,0.0
35.259,cot_llm,27.0,15.0,25.0
44.122,cot_llm,20.0,25.0,24.0
82.236,cot_llm,-1.0,17.5,155.0
24.525,cot_llm,13.0,13.0,20.0
0.043000000000000003,cot_llm,-1.0,0.0,0.0
17.304,cot_llm,18.0,21.0,21.0
27.429,cot_llm,26.0,25.0,-1.0
39.8096,cot_llm,36.0,40.0,43.5
18.152,cot_llm,42.0,15.0,14.0
0.0,cot_llm,0.0,0.0,0.0
29.974,cot_llm,15.0,13.0,12.0
2.37254,cot_llm,3.5,15.0,1.0
120.083,cot_llm,120.0,15.0,120.0
59.8016,cot_llm,49.0,34.0,24.0
28.992,cot_llm,58.0,24.0,24.0
2.7376,cot_llm,10.4,15.0,1.0
6.84,cot_llm,7.0,46.6,15.0
7.884,cot_llm,19.0,27.0,21.0
