gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
14.886,baseline_llm,-1.0,24.75,-1.0
44.516,baseline_llm,36.0,22.3,34.5
2.07115,baseline_llm,13.5,15.3,17.5
3.88395,baseline_llm,4.4,15.3,1.5
109.7628,baseline_llm,129.6,45.3,60.0
69.377,baseline_llm,-1.0,66.5,120.0
45.088,baseline_llm,-1.0,27.6,12.5
19.44,baseline_llm,-1.0,22.3,0.0
19.392,baseline_llm,-1.0,25.3,6.0
12.8934,baseline_llm,-1.0,12.5,16.5
56.772,baseline_llm,-1.0,30.0,-1.0
0.27090000000000003,baseline_llm,-1.0,0.0,0.0
0.0,baseline_llm,0.0,0.0,0.0
3.86265,baseline_llm,20.0,15.3,12.5
20.142,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,15.3,17.5
1.69575,baseline_llm,-1.0,22.6,12.5
87.792,baseline_llm,-1.0,55.3,64.5
33.1496,baseline_llm,26.4,25.3,28.5
39.501,baseline_llm,-1.0,27.3,-1.0
13.261800000000001,baseline_llm,-1.0,0.0,-1.0
75.684,baseline_llm,-1.0,66.5,60.0
2.3987,baseline_llm,-1.0,0.0,0.0
74.628,baseline_llm,-1.0,25.3,-1.0
15.652,baseline_llm,-1.0,20.0,22.5
6.039,baseline_llm,-1.0,2.3,-1.0
7.2568,baseline_llm,-1.0,15.3,24.5
1.85409,baseline_llm,-1.0,15.3,10.5
0.0,baseline_llm,-1.0,34.5,120.0
58.704,baseline_llm,-1.0,25.3,-1.0
5.4963,baseline_llm,8.5,0.0,12.6
0.22491000000000003,baseline_llm,-1.0,-1.0,0.5
36.064,baseline_llm,-1.0,25.3,-1.0
0.3296,baseline_llm,-1.0,15.3,10.0
38.94,baseline_llm,-1.0,25.3,20.0
105.1215,baseline_llm,-1.0,69.3,64.5
24.462,baseline_llm,12.6,-1.0,-1.0
2.24,baseline_llm,-1.0,25.3,24.5
150.042,baseline_llm,-1.0,50.5,60.0
6.108,baseline_llm,-1.0,12.3,-1.0
230.028,baseline_llm,216.0,56.5,68.5
80.6976,baseline_llm,81.0,69.3,60.0
19.789,baseline_llm,-1.0,34.6,64.5
1.5105,baseline_llm,-1.0,12.35,0.5
24.03,baseline_llm,45.0,30.0,120.0
10.517,baseline_llm,21.0,21.3,24.0
0.434,baseline_llm,-1.0,35.3,42.5
94.221,baseline_llm,75.6,30.0,24.5
43.792,baseline_llm,-1.0,25.3,12.5
0.8946000000000001,baseline_llm,-1.0,0.0,-1.0
0.3528,baseline_llm,-1.0,0.0,-1.0
0.0,baseline_llm,-1.0,15.3,0.0
1.0216,baseline_llm,6.5,21.35,22.5
50.7474,baseline_llm,-1.0,30.0,-1.0
77.8164,baseline_llm,74.0,29.5,30.0
98.252,baseline_llm,20.0,25.3,22.5
3.02755,baseline_llm,-1.0,22.3,-1.0
18.9135,baseline_llm,-1.0,22.3,-1.0
55.9174,baseline_llm,60.0,34.6,34.5
44.7618,baseline_llm,-1.0,30.0,-1.0
1.16025,baseline_llm,-1.0,15.6,2.6
2.059,baseline_llm,15.5,22.3,32.5
56.362635,baseline_llm,63.6,15.3,16.5
0.2025,baseline_llm,1.5,15.3,1.2
0.06,baseline_llm,-1.0,25.3,0.0
3.395,baseline_llm,-1.0,15.3,12.5
8.3328,baseline_llm,-1.0,15.3,12.5
35.42,baseline_llm,44.0,22.3,64.0
1.75,baseline_llm,-1.0,25.3,-1.0
4.998,baseline_llm,10.5,15.3,1.5
0.7336,baseline_llm,-1.0,22.3,0.0
0.0,baseline_llm,-1.0,0.0,-1.0
319.186,baseline_llm,-1.0,51.2,120.0
3.339,baseline_llm,-1.0,15.3,0.0
27.452,baseline_llm,-1.0,27.3,-1.0
11.1111111111,baseline_llm,24.0,34.1,34.5
136.534,baseline_llm,48.0,27.3,12.5
14.616,baseline_llm,-1.0,30.0,100.0
25.2784,baseline_llm,-1.0,15.8,16.5
47.874645,baseline_llm,63.0,27.5,12.5
63.765,baseline_llm,-1.0,24.3,24.5
162.72,baseline_llm,231.0,0.0,0.0
0.0,baseline_llm,-1.0,-1.0,-1.0
78.66,baseline_llm,108.0,30.0,48.0
17.2944,baseline_llm,-1.0,27.3,12.5
0.789,baseline_llm,-1.0,24.5,-1.0
0.29760000000000003,baseline_llm,-1.0,-1.0,-1.0
64.4556,baseline_llm,-1.0,27.6,30.0
0.3336,baseline_llm,-1.0,3.3,0.2
11.988,baseline_llm,-1.0,66.5,-1.0
24.1528,baseline_llm,20.0,0.0,-1.0
9.264,baseline_llm,8.0,25.3,1.5
0.0,baseline_llm,-1.0,-1.0,-1.0
0.01845,baseline_llm,-1.0,15.5,1.5
6.144,baseline_llm,-1.0,22.3,12.5
0.32,baseline_llm,-1.0,0.0,0.1
4.27775,baseline_llm,-1.0,25.3,12.5
104.16,baseline_llm,54.0,26.3,24.5
8.8065,baseline_llm,-1.0,15.0,12.5
0.3552,baseline_llm,-1.0,25.3,0.0
56.4732,baseline_llm,63.0,27.3,34.5
0.0,baseline_llm,-1.0,0.0,0.0
25.92,baseline_llm,30.0,22.8,30.0
0.0,baseline_llm,-1.0,15.3,-1.0
44.5828,baseline_llm,-1.0,34.6,24.5
120.102,baseline_llm,135.0,66.5,84.5
