gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
14.886,cot_llm,-1.0,54.0,24.0
44.516,cot_llm,48.0,30.0,28.0
2.07115,cot_llm,3.25,7.5,13.0
3.88395,cot_llm,2.0,0.67,2.0
109.7628,cot_llm,72.0,27.0,36.0
69.377,cot_llm,60.0,42.0,48.0
45.088,cot_llm,40.0,6.0,24.0
19.44,cot_llm,0.0,24.0,44.0
19.392,cot_llm,8.0,13.0,0.0
12.8934,cot_llm,12.0,5.0,24.0
56.772,cot_llm,108.0,7.0,72.0
0.27090000000000003,cot_llm,1.4,0.0,-1.0
0.0,cot_llm,0.0,0.0,0.0
3.86265,cot_llm,7.5,14.0,12.0
20.142,cot_llm,-1.0,0.0,0.0
0.0,cot_llm,4.3,15.0,24.0
1.69575,cot_llm,20.0,27.0,25.0
87.792,cot_llm,45.0,25.0,84.0
33.1496,cot_llm,30.0,0.0,24.0
39.501,cot_llm,-1.0,45.0,3.0
13.261800000000001,cot_llm,4.2,0.0,0.0
75.684,cot_llm,90.0,45.0,120.0
2.3987,cot_llm,1.0,2.1,-1.0
74.628,cot_llm,26.0,84.0,9.0
15.652,cot_llm,15.0,13.5,14.0
6.039,cot_llm,-1.0,15.0,0.0
7.2568,cot_llm,-1.0,27.0,24.0
1.85409,cot_llm,0.0,12.0,3.0
0.0,cot_llm,-1.0,24.0,24.0
58.704,cot_llm,20.0,24.0,0.0
5.4963,cot_llm,17.0,15.0,1.0
0.22491000000000003,cot_llm,-1.0,0.0,0.0
36.064,cot_llm,12.0,27.0,-1.0
0.3296,cot_llm,2.0,40.3,1.0
38.94,cot_llm,10.0,30.0,0.0
105.1215,cot_llm,45.0,66.0,96.0
24.462,cot_llm,18.0,15.0,0.0
2.24,cot_llm,-1.0,12.5,5.0
150.042,cot_llm,90.0,81.0,36.0
6.108,cot_llm,-1.0,12.0,0.0
230.028,cot_llm,216.0,62.0,120.0
80.6976,cot_llm,84.0,75.0,81.0
19.789,cot_llm,30.0,50.0,24.0
1.5105,cot_llm,4.0,0.0,0.0
24.03,cot_llm,21.0,4.67,30.0
10.517,cot_llm,11.0,15.0,11.0
0.434,cot_llm,15.0,11.0,10.0
94.221,cot_llm,87.0,30.0,0.0
43.792,cot_llm,30.0,40.5,12.0
0.8946000000000001,cot_llm,1.5,0.0,0.0
0.3528,cot_llm,-1.0,14.3,13.5
0.0,cot_llm,0.0,5.0,39.0
1.0216,cot_llm,3.0,12.0,14.0
50.7474,cot_llm,-1.0,0.0,0.0
77.8164,cot_llm,48.0,27.0,40.0
98.252,cot_llm,20.0,24.0,2.0
3.02755,cot_llm,10.0,27.0,12.0
18.9135,cot_llm,12.0,27.0,36.0
55.9174,cot_llm,44.0,13.5,14.0
44.7618,cot_llm,-1.0,27.0,0.0
1.16025,cot_llm,6.4,7.5,1.0
2.059,cot_llm,7.5,11.0,10.0
56.362635,cot_llm,78.0,15.5,12.0
0.2025,cot_llm,-1.0,0.5,0.0
0.06,cot_llm,0.0,0.0,0.0
3.395,cot_llm,3.5,14.3,3.0
8.3328,cot_llm,6.0,15.0,3.0
35.42,cot_llm,58.0,30.0,24.0
1.75,cot_llm,8.0,25.0,24.0
4.998,cot_llm,6.0,15.0,0.5
0.7336,cot_llm,0.0,44.0,0.0
0.0,cot_llm,0.0,36.0,0.0
319.186,cot_llm,180.0,64.0,80.0
3.339,cot_llm,6.0,15.0,14.0
27.452,cot_llm,-1.0,30.0,28.0
11.1111111111,cot_llm,16.0,34.0,24.0
136.534,cot_llm,82.0,54.0,44.0
14.616,cot_llm,24.0,39.0,30.0
25.2784,cot_llm,21.0,15.0,12.0
47.874645,cot_llm,63.0,15.0,0.0
63.765,cot_llm,-1.0,12.5,34.0
162.72,cot_llm,135.0,0.0,0.0
0.0,cot_llm,0.0,5.625,42.5
78.66,cot_llm,81.0,45.0,36.0
17.2944,cot_llm,45.0,72.0,3.0
0.789,cot_llm,3.0,3.0,3.0
0.29760000000000003,cot_llm,-1.0,0.0,0.0
64.4556,cot_llm,36.0,30.0,42.0
0.3336,cot_llm,0.0,2.25,1.0
11.988,cot_llm,18.0,15.0,10.0
24.1528,cot_llm,20.0,24.0,0.0
9.264,cot_llm,6.0,1.0,2.0
0.0,cot_llm,0.0,0.0,0.0
0.01845,cot_llm,0.1,13.0,0.0
6.144,cot_llm,-1.0,14.0,1.0
0.32,cot_llm,1.1,6.25,0.0
4.27775,cot_llm,6.0,22.0,12.0
104.16,cot_llm,-1.0,15.0,60.0
8.8065,cot_llm,15.0,15.6,12.0
0.3552,cot_llm,-1.0,4.2,12.0
