gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,baseline_llm,-1.0,70.0,70.0
39.9975,baseline_llm,-1.0,26.25,75.0
13.065,baseline_llm,-1.0,15.0,15.0
24.51,baseline_llm,-1.0,50.0,30.0
28.773,baseline_llm,-1.0,34.6,54.5
3.094,baseline_llm,-1.0,24.5,0.0
53.998,baseline_llm,57.4,28.5,58.5
23.364,baseline_llm,-1.0,55.0,55.0
68.6885,baseline_llm,63.8,85.0,85.0
53.183,baseline_llm,-1.0,65.0,65.0
100.338,baseline_llm,105.0,105.0,105.0
12.956,baseline_llm,20.0,40.0,40.0
69.678,baseline_llm,81.0,90.0,90.0
11.538,baseline_llm,-1.0,30.0,30.0
20.372,baseline_llm,-1.0,55.0,55.0
1.071,baseline_llm,-1.0,30.0,30.0
0.35250000000000004,baseline_llm,-1.0,25.3,25.0
18.337,baseline_llm,-1.0,22.3,-1.0
2.005,baseline_llm,-1.0,45.5,10.0
13.5185,baseline_llm,0.0,26.5,24.5
29.656,baseline_llm,26.4,34.5,34.5
0.0,baseline_llm,-1.0,56.5,30.0
9.7075,baseline_llm,-1.0,55.3,25.3
18.75,baseline_llm,-1.0,25.0,50.0
0.35000000000000003,baseline_llm,-1.0,20.0,20.0
17.004,baseline_llm,15.6,120.0,120.0
25.266,baseline_llm,-1.0,35.3,60.0
8.636,baseline_llm,-1.0,85.0,-1.0
6.3555,baseline_llm,-1.0,54.5,102.5
0.5875,baseline_llm,-1.0,25.3,25.0
0.0,baseline_llm,-1.0,65.0,0.0
37.5,baseline_llm,38.0,25.3,23.0
1.98,baseline_llm,3.6,15.3,60.0
55.0,baseline_llm,-1.0,34.5,34.5
88.1705,baseline_llm,23.8,115.0,115.0
1.332,baseline_llm,-1.0,40.0,40.0
51.205,baseline_llm,38.5,22.5,68.5
0.0,baseline_llm,-1.0,-1.0,-1.0
18.664,baseline_llm,5.2,25.3,80.0
4.761,baseline_llm,-1.0,25.3,0.0
3.98,baseline_llm,-1.0,50.0,30.5
2.7645,baseline_llm,-1.0,15.0,34.0
0.0,baseline_llm,-1.0,95.0,0.0
5.424,baseline_llm,6.5,10.0,18.5
1.6179999999999999,baseline_llm,-1.0,5.3,0.0
70.0,baseline_llm,-1.0,28.3,70.0
106.668,baseline_llm,-1.0,120.0,120.0
107.3295,baseline_llm,-1.0,24.5,115.0
0.975,baseline_llm,-1.0,10.0,10.0
9.537,baseline_llm,-1.0,34.5,34.5
4.2245,baseline_llm,-1.0,26.5,85.0
4.8,baseline_llm,-1.0,15.3,-1.0
13.815,baseline_llm,30.0,45.0,45.0
48.0,baseline_llm,-1.0,60.0,60.0
0.0,baseline_llm,-1.0,20.0,20.0
4.0,baseline_llm,-1.0,40.0,40.0
87.255,baseline_llm,23.0,24.8,105.0
12.8565,baseline_llm,-1.0,45.0,45.0
9.999,baseline_llm,-1.0,45.0,45.0
18.75,baseline_llm,21.0,30.0,30.0
62.985,baseline_llm,-1.0,95.0,95.0
0.0,baseline_llm,-1.0,24.5,24.5
15.0,baseline_llm,10.8,20.0,600.0
20.0,baseline_llm,-1.0,20.0,20.0
30.0,baseline_llm,36.0,12.0,60.0
53.442,baseline_llm,-1.0,27.5,120.0
16.592,baseline_llm,-1.0,54.5,38.0
5.1575,baseline_llm,13.5,25.3,25.0
33.0,baseline_llm,-1.0,55.0,55.0
10.1745,baseline_llm,-1.0,24.5,24.0
40.3315,baseline_llm,-1.0,55.0,55.0
8.4125,baseline_llm,16.0,25.3,28.5
50.293,baseline_llm,-1.0,95.0,95.0
6.978,baseline_llm,-1.0,55.3,60.0
29.3455,baseline_llm,-1.0,26.0,0.0
8.0,baseline_llm,-1.0,25.3,40.0
44.814,baseline_llm,-1.0,34.5,30.0
72.2,baseline_llm,-1.0,25.3,54.5
9.5445,baseline_llm,-1.0,105.0,105.0
1.9635,baseline_llm,0.0,15.5,55.0
58.664,baseline_llm,-1.0,80.0,80.0
2.782,baseline_llm,-1.0,20.0,20.0
0.0,baseline_llm,-1.0,110.0,-1.0
8.561,baseline_llm,-1.0,25.3,25.3
0.0,baseline_llm,-1.0,0.0,-1.0
70.0035,baseline_llm,-1.0,105.3,105.0
0.0,baseline_llm,-1.0,45.0,45.0
22.0,baseline_llm,-1.0,55.0,-1.0
25.0005,baseline_llm,-1.0,35.0,35.0
6.89,baseline_llm,-1.0,40.0,40.0
0.0,baseline_llm,-1.0,35.0,35.0
0.0,baseline_llm,-1.0,15.0,15.0
19.558,baseline_llm,-1.0,110.0,38.5
0.0,baseline_llm,0.0,0.0,0.0
44.645,baseline_llm,37.5,50.0,50.0
45.3305,baseline_llm,-1.0,85.0,85.0
0.546,baseline_llm,-1.0,20.0,-1.0
1.294,baseline_llm,-1.0,20.0,20.0
57.396,baseline_llm,36.0,34.5,32.0
9.525,baseline_llm,-1.0,30.0,30.0
16.551,baseline_llm,-1.0,0.0,-1.0
2.625,baseline_llm,-1.0,15.0,15.0
15.0,baseline_llm,4.0,20.0,20.0
49.9985,baseline_llm,-1.0,95.0,95.0
76.872,baseline_llm,-1.0,22.3,120.0
2.6109999999999998,baseline_llm,-1.0,70.0,22.5
0.0,baseline_llm,-1.0,90.0,38.5
0.0,baseline_llm,-1.0,50.0,0.0
6.84,baseline_llm,-1.0,54.5,44.5
2.664,baseline_llm,-1.0,45.0,45.0
3.944,baseline_llm,-1.0,40.0,40.0
18.9,baseline_llm,-1.0,54.5,48.0
54.7785,baseline_llm,-1.0,105.0,105.0
41.25,baseline_llm,-1.0,19.35,17.5
47.418,baseline_llm,-1.0,105.0,-1.0
44.445,baseline_llm,-1.0,15.0,25.3
80.0,baseline_llm,-1.0,80.0,-1.0
28.3305,baseline_llm,-1.0,225.3,-1.0
34.284,baseline_llm,-1.0,120.0,120.0
4.209,baseline_llm,-1.0,32.5,115.0
42.4905,baseline_llm,-1.0,15.8,30.0
3.186,baseline_llm,-1.0,20.0,20.0
53.334,baseline_llm,58.8,60.0,60.0
0.0,baseline_llm,-1.0,-1.0,-1.0
3.25,baseline_llm,25.0,25.0,25.0
4.27125,baseline_llm,21.0,85.0,85.0
0.0,baseline_llm,-1.0,105.0,105.0
86.2155,baseline_llm,-1.0,-1.0,-1.0
0.20400000000000001,baseline_llm,-1.0,0.0,-1.0
2.996,baseline_llm,-1.0,40.0,40.0
0.0135,baseline_llm,-1.0,45.0,45.0
1.907,baseline_llm,-1.0,10.0,10.0
6.665,baseline_llm,-1.0,50.0,30.0
0.0,baseline_llm,5.0,25.0,25.0
37.4985,baseline_llm,-1.0,45.0,45.0
27.69,baseline_llm,-1.0,65.0,17.5
17.36,baseline_llm,-1.0,35.0,35.0
16.458,baseline_llm,30.0,15.3,22.0
0.0,baseline_llm,-1.0,75.0,75.0
9.4995,baseline_llm,-1.0,15.0,15.0
0.0,baseline_llm,-1.0,25.0,25.0
8.181,baseline_llm,-1.0,30.0,55.0
0.0,baseline_llm,-1.0,45.0,45.0
0.0,baseline_llm,-1.0,15.0,1.5
17.6505,baseline_llm,-1.0,45.3,32.5
86.25,baseline_llm,-1.0,26.5,28.5
64.2295,baseline_llm,-1.0,22.35,64.5
0.0,baseline_llm,-1.0,110.0,-1.0
108.0,baseline_llm,108.0,120.0,-1.0
4.726,baseline_llm,4.6,20.0,-1.0
0.0,baseline_llm,-1.0,10.0,10.0
0.5425,baseline_llm,0.0,0.0,25.0
61.6055,baseline_llm,57.0,29.5,64.5
1.52,baseline_llm,-1.0,40.0,40.0
6.193,baseline_llm,27.5,24.5,28.5
0.0,baseline_llm,0.0,0.0,0.0
16.875,baseline_llm,25.0,25.0,25.0
37.499,baseline_llm,38.5,14.3,59.0
6.0,baseline_llm,10.0,20.0,20.0
0.273,baseline_llm,1.3,65.0,14.5
19.8275,baseline_llm,18.0,25.3,25.3
13.548,baseline_llm,-1.0,30.0,15.0
62.337,baseline_llm,15.0,24.5,28.5
4.912,baseline_llm,6.1,10.0,10.0
5.168,baseline_llm,40.0,40.0,40.0
15.8865,baseline_llm,-1.0,35.0,35.0
5.0,baseline_llm,3.0,25.3,25.0
15.198,baseline_llm,-1.0,85.0,85.0
