gt,method,gpt-3.5-turbo,alpaca-native,medalpaca-7b
0.0,cot_llm,-1.0,19.0,12.0
39.9975,cot_llm,-1.0,6.75,-1.0
13.065,cot_llm,-1.0,15.0,15.0
24.51,cot_llm,25.0,25.0,0.0
28.773,cot_llm,-1.0,90.0,90.0
3.094,cot_llm,5.0,2.0,5.0
53.998,cot_llm,-1.0,27.0,50.0
23.364,cot_llm,-1.0,13.0,12.0
68.6885,cot_llm,60.0,24.3,42.0
53.183,cot_llm,5.0,25.0,34.0
100.338,cot_llm,-1.0,34.8,105.0
12.956,cot_llm,15.0,40.0,40.0
69.678,cot_llm,72.9,27.5,90.0
11.538,cot_llm,-1.0,30.0,30.0
20.372,cot_llm,-1.0,27.0,55.0
1.071,cot_llm,0.0,30.0,30.0
0.35250000000000004,cot_llm,-1.0,25.0,25.0
18.337,cot_llm,74.8,26.5,28.0
2.005,cot_llm,-1.0,75.0,0.0
13.5185,cot_llm,0.0,24.3,11.4
29.656,cot_llm,17.0,22.0,2760.0
0.0,cot_llm,60.0,30.0,100.0
9.7075,cot_llm,-1.0,14.0,55.0
18.75,cot_llm,-1.0,25.0,25.0
0.35000000000000003,cot_llm,2.0,0.0,20.0
17.004,cot_llm,6.0,24.0,0.0
25.266,cot_llm,-1.0,17.0,30.0
8.636,cot_llm,-1.0,24.0,85.0
6.3555,cot_llm,-1.0,95.0,60.0
0.5875,cot_llm,-1.0,0.0,25.0
0.0,cot_llm,-1.0,0.0,65.0
37.5,cot_llm,45.0,75.0,27.0
1.98,cot_llm,3.6,15.0,2.0
55.0,cot_llm,4.7,208.3,160.0
88.1705,cot_llm,24.0,12.65,54.0
1.332,cot_llm,0.0,4.0,0.0
51.205,cot_llm,33.0,30.0,17.0
0.0,cot_llm,0.0,0.0,-1.0
18.664,cot_llm,6.0,27.0,22.0
4.761,cot_llm,-1.0,1350.0,90.0
3.98,cot_llm,-1.0,15.0,50.0
2.7645,cot_llm,15.0,15.0,15.0
0.0,cot_llm,-1.0,0.0,95.0
5.424,cot_llm,10.0,10.0,0.0
1.6179999999999999,cot_llm,1.4,8.0,6.0
70.0,cot_llm,-1.0,24.0,24.0
106.668,cot_llm,-1.0,47.0,144.0
107.3295,cot_llm,-1.0,24.0,115.0
0.975,cot_llm,-1.0,10.0,-1.0
9.537,cot_llm,-1.0,29.0,110.0
4.2245,cot_llm,8.5,11.25,22.0
4.8,cot_llm,0.0,6.0,0.0
13.815,cot_llm,30.0,45.0,45.0
48.0,cot_llm,-1.0,60.0,28.0
0.0,cot_llm,-1.0,0.0,0.0
4.0,cot_llm,36.0,40.0,40.0
87.255,cot_llm,-1.0,24.0,105.0
12.8565,cot_llm,22.5,22.5,45.0
9.999,cot_llm,-1.0,11.25,45.0
18.75,cot_llm,-1.0,8.0,30.0
62.985,cot_llm,60.0,24.65,95.0
0.0,cot_llm,0.0,24.0,24.0
15.0,cot_llm,10.0,20.0,20.0
20.0,cot_llm,-1.0,20.0,0.0
30.0,cot_llm,-1.0,720.0,24.0
53.442,cot_llm,13.5,27.0,24.0
16.592,cot_llm,0.0,492.5,25.0
5.1575,cot_llm,19.0,25.0,25.0
33.0,cot_llm,-1.0,14.0,55.0
10.1745,cot_llm,-1.0,24.0,22.0
40.3315,cot_llm,-1.0,14.3,55.0
8.4125,cot_llm,3.75,25.0,30.0
50.293,cot_llm,-1.0,27.5,95.0
6.978,cot_llm,30.0,100.0,30.0
29.3455,cot_llm,9.5,24.0,0.0
8.0,cot_llm,-1.0,0.0625,-1.0
44.814,cot_llm,50.0,27.0,24.0
72.2,cot_llm,-1.0,27.0,95.0
9.5445,cot_llm,1.1,27.0,24.0
1.9635,cot_llm,0.0,14.0,55.0
58.664,cot_llm,-1.0,24.0,0.0
2.782,cot_llm,10.0,5.0,20.0
0.0,cot_llm,47.99,48.2,43.0
8.561,cot_llm,6.3,83.5,-1.0
0.0,cot_llm,0.0,0.0,0.0
70.0035,cot_llm,-1.0,6.6,24.0
0.0,cot_llm,45.0,13.5,45.0
22.0,cot_llm,-1.0,14.4,0.0
25.0005,cot_llm,-1.0,35.0,35.0
6.89,cot_llm,-1.0,40.0,40.0
0.0,cot_llm,-1.0,2.0,35.0
0.0,cot_llm,-1.0,15.0,15.0
19.558,cot_llm,-1.0,21.0,44.0
0.0,cot_llm,0.0,0.0,0.0
44.645,cot_llm,37.0,15.0,50.0
45.3305,cot_llm,-1.0,24.0,85.0
0.546,cot_llm,-1.0,0.0,20.0
1.294,cot_llm,-1.0,14.0,20.0
57.396,cot_llm,23.0,120.0,-1.0
9.525,cot_llm,-1.0,8.0,30.0
16.551,cot_llm,0.0,30.0,0.0
2.625,cot_llm,10.0,15.0,15.0
15.0,cot_llm,-1.0,20.0,20.0
49.9985,cot_llm,-1.0,25.3,26.8
76.872,cot_llm,80.0,36.0,24.0
2.6109999999999998,cot_llm,0.0,0.0,0.0
0.0,cot_llm,-1.0,13.5,90.0
0.0,cot_llm,0.0,12.0,0.0
6.84,cot_llm,6.0,17.0,12.0
2.664,cot_llm,-1.0,13.5,28.0
3.944,cot_llm,1.6,0.0,40.0
18.9,cot_llm,36.0,42.0,52.0
54.7785,cot_llm,-1.0,26.5,105.0
41.25,cot_llm,0.0,0.0,75.0
47.418,cot_llm,-1.0,27.0,105.0
44.445,cot_llm,-1.0,15.0,0.0
80.0,cot_llm,-1.0,0.0,0.0
28.3305,cot_llm,59.0,34.0,35.0
34.284,cot_llm,-1.0,0.0,0.0
4.209,cot_llm,-1.0,29.0,28.0
42.4905,cot_llm,30.0,97.95,28.0
3.186,cot_llm,-1.0,27.0,20.0
53.334,cot_llm,-1.0,24.0,24.0
0.0,cot_llm,0.0,34.6,110.0
3.25,cot_llm,-1.0,25.0,25.0
4.27125,cot_llm,19.0,17.1,85.0
0.0,cot_llm,105.0,12.0,-1.0
86.2155,cot_llm,-1.0,0.0,115.0
0.20400000000000001,cot_llm,0.0,0.0,60.0
2.996,cot_llm,4.0,40.0,2.0
0.0135,cot_llm,1.35,45.0,45.0
1.907,cot_llm,6.0,2.0,0.0
6.665,cot_llm,15.0,32.0,34.0
0.0,cot_llm,1.425,25.0,25.0
37.4985,cot_llm,-1.0,45.0,45.0
27.69,cot_llm,-1.0,65.0,65.0
17.36,cot_llm,18.0,35.0,35.0
16.458,cot_llm,25.0,6.0,7.5
0.0,cot_llm,-1.0,25.0,75.0
9.4995,cot_llm,-1.0,15.0,15.0
0.0,cot_llm,-1.0,0.0,25.0
8.181,cot_llm,20.0,43.0,390.0
0.0,cot_llm,-1.0,45.0,45.0
0.0,cot_llm,-1.0,15.0,15.0
17.6505,cot_llm,20.0,55.25,67.0
86.25,cot_llm,-1.0,27.0,115.0
64.2295,cot_llm,-1.0,25.0,95.0
0.0,cot_llm,-1.0,34.0,110.0
108.0,cot_llm,-1.0,24.0,120.0
4.726,cot_llm,4.6,20.0,-1.0
0.0,cot_llm,10.0,10.0,10.0
0.5425,cot_llm,0.0,0.0,0.0
61.6055,cot_llm,64.0,24.0,58.0
1.52,cot_llm,-1.0,25.0,0.0
6.193,cot_llm,-1.0,34.0,110.0
